run_id,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,metric_key,value,test_model,metric_family,metric
xtj1l55e,apertus_no_lora_fp32_only_layer26_seed43_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,43,1e-4,float32,none,2.261085033416748,train/longfact_test_apertus/all_auc,0.6422084551759878,apertus,all,auc
tn9zon9i,apertus_no_lora_fp32_only_layer26_seed43_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,43,3e-4,float32,none,1.2675254344940186,train/longfact_test_apertus/all_auc,0.654302402762731,apertus,all,auc
gi60xrz3,apertus_no_lora_fp32_only_layer26_seed43_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,43,3e-5,float32,none,5.592858791351318,train/longfact_test_apertus/all_auc,0.619357308765377,apertus,all,auc
p7gub5up,apertus_no_lora_fp32_only_layer26_seed44_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,44,1e-3,float32,none,2.7211620807647705,train/longfact_test_apertus/all_auc,0.6655241618423848,apertus,all,auc
gani1xp7,apertus_no_lora_fp32_only_layer26_seed44_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,44,1e-4,float32,none,0.061501313000917435,train/longfact_test_apertus/all_auc,0.6380411640874779,apertus,all,auc
ill5vvx2,apertus_no_lora_fp32_only_layer26_seed44_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,44,3e-4,float32,none,0.02174818329513073,train/longfact_test_apertus/all_auc,0.6539005296419422,apertus,all,auc
b9ibkxys,apertus_no_lora_fp32_only_layer26_seed44_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,26,44,3e-5,float32,none,0.0007233090000227094,train/longfact_test_apertus/all_auc,0.6204836399083616,apertus,all,auc
362f178l,apertus_no_lora_fp32_only_layer30_seed42_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,42,1e-3,float32,none,81.83356475830078,train/longfact_test_apertus/all_auc,0.5,apertus,all,auc
572p44e7,apertus_no_lora_fp32_only_layer30_seed42_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,42,1e-4,float32,none,0.03013068065047264,train/longfact_test_apertus/all_auc,0.6394267206188454,apertus,all,auc
9k35iiw5,apertus_no_lora_fp32_only_layer30_seed42_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,42,3e-4,float32,none,0.02508390322327614,train/longfact_test_apertus/all_auc,0.6516644967709464,apertus,all,auc
7u26q4rs,apertus_no_lora_fp32_only_layer30_seed42_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,42,3e-5,float32,none,0.5540672540664673,train/longfact_test_apertus/all_auc,0.6038187526477817,apertus,all,auc
f817tswh,apertus_no_lora_fp32_only_layer30_seed43_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,43,1e-3,float32,none,9.374524116516112,train/longfact_test_apertus/all_auc,0.5,apertus,all,auc
lqmdrcpg,apertus_no_lora_fp32_only_layer30_seed43_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,43,1e-4,float32,none,5.7266106605529785,train/longfact_test_apertus/all_auc,0.6378762202880446,apertus,all,auc
f3nq1ppq,apertus_no_lora_fp32_only_layer30_seed43_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,43,3e-4,float32,none,5.207202911376953,train/longfact_test_apertus/all_auc,0.6508555012509005,apertus,all,auc
z9shqkbl,apertus_no_lora_fp32_only_layer30_seed43_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,43,3e-5,float32,none,6.685286521911621,train/longfact_test_apertus/all_auc,0.5974822448245743,apertus,all,auc
bz9gcqwk,apertus_no_lora_fp32_only_layer30_seed44_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,44,1e-3,float32,none,0.0,train/longfact_test_apertus/all_auc,0.5,apertus,all,auc
nhg2yz2u,apertus_no_lora_fp32_only_layer30_seed44_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,44,1e-4,float32,none,0.01171684730798006,train/longfact_test_apertus/all_auc,0.632867726354373,apertus,all,auc
4yytvlvi,apertus_no_lora_fp32_only_layer30_seed44_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,44,3e-4,float32,none,0.0005547898472286761,train/longfact_test_apertus/all_auc,0.6400696868320922,apertus,all,auc
8kx20a5i,apertus_no_lora_fp32_only_layer30_seed44_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,30,44,3e-5,float32,none,33.319332122802734,train/longfact_test_apertus/all_auc,0.6042525379777142,apertus,all,auc
kgoq3e5r,llama_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:45:36+00:00,llama,llama_layers,10,42,,bfloat16,none,0.4103353917598725,train/longfact_test_apertus/all_auc,0.8764854912180169,apertus,all,auc
